<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.COUR,D,20220204,000000,19.9700000,20.7100000,19.5700000,20.5300000,1287
SPBEX.COUR,D,20220205,000000,20.5300000,20.6300000,20.3300000,20.6300000,161
SPBEX.COUR,D,20220207,000000,20.6400000,21.5400000,20.2100000,20.6100000,3398
SPBEX.COUR,D,20220208,000000,20.6300000,21.4600000,20.3300000,21.3800000,1810
SPBEX.COUR,D,20220209,000000,21.3400000,22.3300000,21.1600000,22.2100000,1929
SPBEX.COUR,D,20220210,000000,22.2100000,23.4300000,20.4800000,21.1700000,10024
SPBEX.COUR,D,20220211,000000,21.0300000,24.0000000,19.1700000,19.7300000,15507
SPBEX.COUR,D,20220212,000000,19.7000000,19.8600000,19.7000000,19.8600000,1065
SPBEX.COUR,D,20220214,000000,19.8500000,21.2800000,19.1400000,20.5300000,4776
SPBEX.COUR,D,20220215,000000,20.4900000,21.1900000,20.4200000,20.8100000,1962
SPBEX.COUR,D,20220216,000000,20.8500000,21.3000000,20.0000000,21.1400000,1454
SPBEX.COUR,D,20220217,000000,21.1600000,21.5000000,19.5000000,20.2000000,3192
SPBEX.COUR,D,20220218,000000,20.1300000,20.6000000,18.7900000,19.8900000,1695
SPBEX.COUR,D,20220219,000000,19.9000000,20.0200000,19.9000000,20.0200000,133
SPBEX.COUR,D,20220222,000000,19.3200000,20.4800000,18.0300000,19.4900000,3038
SPBEX.COUR,D,20220223,000000,19.4700000,19.6900000,18.6500000,18.6900000,1024
SPBEX.COUR,D,20220224,000000,18.6000000,20.0800000,17.4000000,19.9400000,18473
SPBEX.COUR,D,20220225,000000,19.9500000,20.0000000,18.9500000,19.7700000,8628
SPBEX.COUR,D,20220226,000000,19.9900000,19.9900000,19.5600000,19.5600000,904
SPBEX.COUR,D,20220228,000000,19.5100000,20.4900000,18.6500000,20.2200000,8666
SPBEX.COUR,D,20220301,000000,20.3300000,21.1300000,19.5500000,20.9700000,12651
SPBEX.COUR,D,20220302,000000,20.9400000,20.9400000,19.9400000,19.9600000,377
SPBEX.COUR,D,20220303,000000,20.7600000,20.9100000,19.5600000,19.7400000,2181
SPBEX.COUR,D,20220304,000000,19.7900000,19.8600000,19.4000000,19.4000000,19
SPBEX.COUR,D,20220309,000000,17.8700000,18.4100000,17.3000000,18.2500000,3177
SPBEX.COUR,D,20220310,000000,18.3400000,18.3400000,16.8100000,17.8500000,659
SPBEX.COUR,D,20220311,000000,17.6900000,18.4800000,17.0100000,17.7900000,3064
SPBEX.COUR,D,20220312,000000,17.7500000,17.7500000,16.5100000,16.8000000,231
SPBEX.COUR,D,20220314,000000,16.2500000,17.6200000,16.2500000,16.6600000,846
SPBEX.COUR,D,20220315,000000,16.4800000,17.0400000,16.2100000,16.8100000,850
SPBEX.COUR,D,20220316,000000,16.8000000,18.5300000,16.5100000,18.3300000,904
SPBEX.COUR,D,20220317,000000,18.3300000,19.4800000,18.3300000,19.1400000,1801
SPBEX.COUR,D,20220318,000000,19.1600000,19.8200000,18.9800000,19.6100000,895
SPBEX.COUR,D,20220319,000000,19.6100000,19.6100000,19.6100000,19.6100000,14
SPBEX.COUR,D,20220321,000000,20.0700000,20.0700000,18.9700000,19.1300000,1310
SPBEX.COUR,D,20220322,000000,19.1900000,20.6200000,19.1800000,20.4600000,1063
SPBEX.COUR,D,20220323,000000,20.1500000,20.9000000,19.8200000,20.0800000,264
SPBEX.COUR,D,20220324,000000,20.1200000,21.3000000,20.1200000,20.6100000,180
SPBEX.COUR,D,20220325,000000,20.8000000,21.4500000,20.5700000,21.1000000,837
SPBEX.COUR,D,20220328,000000,21.0100000,21.7500000,21.0100000,21.7500000,1504
SPBEX.COUR,D,20220329,000000,21.5100000,22.4400000,21.3600000,22.3100000,526
SPBEX.COUR,D,20220330,000000,22.1500000,23.4400000,22.0000000,23.0000000,3013
SPBEX.COUR,D,20220331,000000,22.5100000,23.4800000,22.5100000,22.6900000,771
SPBEX.COUR,D,20220401,000000,22.6900000,23.5700000,22.6800000,22.9000000,1038
SPBEX.COUR,D,20220402,000000,22.9400000,23.2500000,22.9400000,23.2500000,5
SPBEX.COUR,D,20220404,000000,23.0200000,23.9800000,23.0100000,23.1400000,736
SPBEX.COUR,D,20220405,000000,23.4800000,23.5900000,22.9200000,22.9200000,1407
SPBEX.COUR,D,20220406,000000,22.9000000,23.0700000,21.4200000,22.1100000,1069
SPBEX.COUR,D,20220407,000000,21.6800000,22.5000000,21.4500000,21.8400000,82
SPBEX.COUR,D,20220408,000000,21.3400000,21.6900000,21.0000000,21.5000000,442
SPBEX.COUR,D,20220409,000000,21.0000000,21.0000000,21.0000000,21.0000000,2
SPBEX.COUR,D,20220411,000000,19.8700000,23.0000000,19.8700000,22.9000000,465
SPBEX.COUR,D,20220412,000000,23.0000000,24.3000000,20.3700000,22.0700000,1126
SPBEX.COUR,D,20220413,000000,21.9000000,23.0200000,21.5000000,23.0000000,10816
SPBEX.COUR,D,20220414,000000,22.5200000,23.0100000,22.2400000,22.2800000,718
SPBEX.COUR,D,20220415,000000,22.2100000,22.2100000,22.2100000,22.2100000,2
SPBEX.COUR,D,20220418,000000,21.5000000,22.1100000,21.3000000,21.6300000,1743
SPBEX.COUR,D,20220419,000000,21.5700000,22.7300000,20.7000000,21.7100000,1033
SPBEX.COUR,D,20220420,000000,21.7300000,22.4600000,21.7300000,22.0600000,370
SPBEX.COUR,D,20220421,000000,22.0100000,22.8800000,21.6600000,21.7700000,242
SPBEX.COUR,D,20220422,000000,21.2000000,22.2200000,20.9600000,20.9600000,312
SPBEX.COUR,D,20220423,000000,20.9600000,20.9600000,20.8800000,20.8800000,16
SPBEX.COUR,D,20220425,000000,20.5000000,22.1000000,20.5000000,21.8600000,623
SPBEX.COUR,D,20220426,000000,21.4500000,22.1300000,19.8300000,20.4600000,853
SPBEX.COUR,D,20220427,000000,20.1400000,20.7400000,18.9100000,20.7400000,2414
SPBEX.COUR,D,20220428,000000,18.2300000,21.4300000,18.0000000,19.4900000,6394
SPBEX.COUR,D,20220429,000000,19.1700000,20.2000000,18.7800000,18.9900000,456
SPBEX.COUR,D,20220502,000000,18.5100000,19.4800000,18.5000000,18.6600000,461
SPBEX.COUR,D,20220503,000000,18.6900000,19.1500000,18.2500000,18.3000000,508
SPBEX.COUR,D,20220504,000000,18.4600000,19.1500000,17.5900000,18.2700000,544
SPBEX.COUR,D,20220505,000000,18.3000000,18.9900000,17.3700000,18.0000000,954
SPBEX.COUR,D,20220506,000000,17.5300000,17.7900000,16.5700000,17.3700000,701
SPBEX.COUR,D,20220509,000000,17.2400000,17.2400000,15.2700000,15.9800000,1475
SPBEX.COUR,D,20220510,000000,15.6000000,15.8600000,14.2900000,15.2800000,4884
SPBEX.COUR,D,20220511,000000,15.7400000,15.7400000,14.0800000,14.7300000,784
SPBEX.COUR,D,20220512,000000,14.7300000,14.7800000,13.5000000,14.2200000,619
SPBEX.COUR,D,20220513,000000,14.2200000,15.5700000,14.2200000,15.3900000,540
SPBEX.COUR,D,20220514,000000,15.0100000,15.2300000,15.0100000,15.2300000,4
SPBEX.COUR,D,20220516,000000,15.4000000,15.5600000,14.9700000,15.1700000,382
SPBEX.COUR,D,20220517,000000,15.0100000,15.9200000,14.8700000,15.0400000,493
SPBEX.COUR,D,20220518,000000,15.0200000,15.3600000,14.5600000,14.5600000,654
SPBEX.COUR,D,20220519,000000,15.0300000,15.7400000,14.7000000,15.4900000,763
SPBEX.COUR,D,20220520,000000,15.4900000,16.0000000,14.8400000,15.0100000,317
SPBEX.COUR,D,20220521,000000,15.3100000,15.3100000,15.3100000,15.3100000,2
SPBEX.COUR,D,20220523,000000,14.4000000,15.9000000,14.4000000,15.5700000,355
SPBEX.COUR,D,20220524,000000,15.7100000,15.7200000,14.6100000,15.2300000,452
SPBEX.COUR,D,20220525,000000,15.2500000,15.9400000,15.2500000,15.8200000,328
SPBEX.COUR,D,20220526,000000,15.6600000,16.9800000,15.3100000,16.3000000,328
SPBEX.COUR,D,20220527,000000,16.3000000,17.0900000,16.3000000,17.0900000,126
SPBEX.COUR,D,20220528,000000,16.9800000,16.9800000,16.9800000,16.9800000,1
SPBEX.COUR,D,20220531,000000,16.8000000,17.0700000,16.0000000,16.3400000,969
SPBEX.COUR,D,20220601,000000,16.4300000,17.0900000,16.2300000,16.7300000,329
SPBEX.COUR,D,20220602,000000,16.7300000,18.2800000,16.2500000,17.3800000,2025
SPBEX.COUR,D,20220603,000000,16.0000000,18.2700000,16.0000000,16.1800000,6244
SPBEX.COUR,D,20220604,000000,16.2100000,16.6600000,16.1900000,16.1900000,17
SPBEX.COUR,D,20220606,000000,16.1600000,17.3700000,16.1600000,16.8000000,376
SPBEX.COUR,D,20220607,000000,16.6100000,17.0700000,16.5600000,17.0700000,600
SPBEX.COUR,D,20220608,000000,16.4000000,17.5700000,16.4000000,17.5100000,274
SPBEX.COUR,D,20220609,000000,18.2800000,18.2800000,16.5500000,16.5600000,457
SPBEX.COUR,D,20220610,000000,16.0500000,16.2600000,15.4600000,15.6600000,370
SPBEX.COUR,D,20220613,000000,15.5000000,15.6500000,14.3900000,14.7200000,480
SPBEX.COUR,D,20220614,000000,15.8000000,15.8000000,14.2800000,14.8000000,345
SPBEX.COUR,D,20220615,000000,14.3000000,15.9800000,14.1900000,15.9800000,221
SPBEX.COUR,D,20220616,000000,14.8800000,15.9000000,14.7000000,15.2500000,1328
SPBEX.COUR,D,20220617,000000,15.2400000,16.4300000,15.2200000,15.6000000,991
SPBEX.COUR,D,20220618,000000,16.1800000,16.2300000,16.1800000,16.2300000,58
SPBEX.COUR,D,20220621,000000,16.7400000,16.9900000,15.5200000,15.5200000,182
SPBEX.COUR,D,20220622,000000,15.9500000,16.2400000,15.0400000,15.5800000,330
SPBEX.COUR,D,20220623,000000,15.4100000,16.3900000,15.4000000,15.6300000,5052
SPBEX.COUR,D,20220624,000000,16.3100000,16.3200000,14.7200000,15.9600000,280
SPBEX.COUR,D,20220625,000000,15.9900000,15.9900000,15.9700000,15.9700000,3
SPBEX.COUR,D,20220627,000000,15.9800000,15.9900000,15.2000000,15.7300000,220
SPBEX.COUR,D,20220628,000000,15.2400000,15.7300000,14.7900000,14.8000000,363
SPBEX.COUR,D,20220629,000000,14.9800000,16.0000000,14.3500000,14.7900000,1923
SPBEX.COUR,D,20220630,000000,14.9300000,14.9300000,13.8400000,14.2000000,937
SPBEX.COUR,D,20220701,000000,14.0500000,14.6400000,13.7800000,14.5800000,659
SPBEX.COUR,D,20220705,000000,14.3700000,15.2500000,14.1400000,15.2500000,148
SPBEX.COUR,D,20220706,000000,14.9500000,15.7000000,14.3500000,15.6100000,1332
SPBEX.COUR,D,20220707,000000,15.8800000,15.9900000,15.5500000,15.7900000,410
SPBEX.COUR,D,20220708,000000,15.6600000,16.0400000,15.5400000,15.6400000,322
SPBEX.COUR,D,20220711,000000,15.8400000,16.0900000,15.2600000,15.7900000,669
SPBEX.COUR,D,20220712,000000,15.1200000,15.4900000,14.6200000,15.4600000,449
SPBEX.COUR,D,20220713,000000,14.8400000,15.4700000,14.8400000,15.2000000,95
SPBEX.COUR,D,20220714,000000,15.1900000,15.3300000,14.6100000,15.2600000,228
SPBEX.COUR,D,20220715,000000,15.0300000,15.7600000,15.0300000,15.7600000,267
SPBEX.COUR,D,20220718,000000,15.1200000,16.4500000,15.1200000,16.0300000,114
SPBEX.COUR,D,20220719,000000,16.3500000,16.6900000,16.0200000,16.5900000,660
