<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.INTC,D,20220204,000000,48.4700000,48.8500000,47.3700000,48.0100000,147559
SPBEX.INTC,D,20220205,000000,48.0800000,48.1300000,47.8800000,48.0700000,29766
SPBEX.INTC,D,20220207,000000,48.7800000,48.8900000,47.9600000,48.2100000,79253
SPBEX.INTC,D,20220208,000000,48.2000000,48.9400000,47.9100000,48.8000000,97474
SPBEX.INTC,D,20220209,000000,48.8100000,49.9700000,48.6500000,49.9100000,104615
SPBEX.INTC,D,20220210,000000,49.8800000,49.9500000,48.7600000,48.8700000,87810
SPBEX.INTC,D,20220211,000000,48.8000000,49.6100000,47.5100000,47.6200000,122185
SPBEX.INTC,D,20220212,000000,47.8500000,47.9700000,47.6300000,47.8000000,32930
SPBEX.INTC,D,20220214,000000,48.4600000,48.4600000,47.0000000,47.6100000,69302
SPBEX.INTC,D,20220215,000000,47.6100000,48.5000000,47.1400000,48.3200000,103165
SPBEX.INTC,D,20220216,000000,48.3700000,49.0100000,47.6100000,48.2000000,66694
SPBEX.INTC,D,20220217,000000,48.2300000,48.5000000,47.3800000,47.5800000,99635
SPBEX.INTC,D,20220218,000000,47.6200000,47.7500000,44.5100000,45.0400000,406672
SPBEX.INTC,D,20220219,000000,45.0700000,45.2800000,44.9700000,45.0400000,46004
SPBEX.INTC,D,20220222,000000,44.4100000,45.4000000,42.1500000,44.7200000,166461
SPBEX.INTC,D,20220223,000000,44.6500000,45.7000000,44.5600000,44.6500000,104761
SPBEX.INTC,D,20220224,000000,44.6500000,46.7800000,41.8400000,46.7600000,244448
SPBEX.INTC,D,20220225,000000,46.7500000,47.7800000,46.0400000,47.7700000,171882
SPBEX.INTC,D,20220226,000000,47.7100000,47.7600000,47.5400000,47.6600000,16893
SPBEX.INTC,D,20220228,000000,47.0800000,47.8100000,46.8500000,47.6400000,222035
SPBEX.INTC,D,20220301,000000,47.6500000,47.7200000,46.2200000,46.9000000,117169
SPBEX.INTC,D,20220302,000000,46.8200000,46.9000000,46.6500000,46.7600000,8868
SPBEX.INTC,D,20220303,000000,48.2200000,48.5400000,47.6300000,47.9300000,137738
SPBEX.INTC,D,20220304,000000,47.9300000,48.0100000,47.8800000,47.9600000,3236
SPBEX.INTC,D,20220309,000000,48.3500000,48.5800000,46.8800000,47.6600000,73803
SPBEX.INTC,D,20220310,000000,47.6300000,47.8400000,46.1600000,46.7000000,28456
SPBEX.INTC,D,20220311,000000,46.5400000,47.2700000,45.7700000,45.7700000,31567
SPBEX.INTC,D,20220312,000000,45.8300000,46.0000000,45.7700000,45.9000000,1891
SPBEX.INTC,D,20220314,000000,46.0500000,46.0700000,44.3000000,44.4700000,18385
SPBEX.INTC,D,20220315,000000,44.4700000,44.9000000,44.0700000,44.8900000,16337
SPBEX.INTC,D,20220316,000000,44.8900000,46.7700000,44.7300000,46.7200000,19629
SPBEX.INTC,D,20220317,000000,46.6000000,47.2800000,45.7300000,47.1400000,16004
SPBEX.INTC,D,20220318,000000,46.9500000,47.6000000,46.3700000,47.5100000,26110
SPBEX.INTC,D,20220319,000000,47.5100000,47.5500000,47.4800000,47.5100000,111
SPBEX.INTC,D,20220321,000000,47.4400000,47.8900000,47.0700000,47.3800000,16183
SPBEX.INTC,D,20220322,000000,47.3800000,48.4900000,47.2000000,48.4500000,33456
SPBEX.INTC,D,20220323,000000,48.2800000,49.5400000,48.0600000,48.3300000,32176
SPBEX.INTC,D,20220324,000000,48.3300000,51.6300000,48.2500000,51.4100000,58325
SPBEX.INTC,D,20220325,000000,51.4300000,51.9700000,50.4500000,51.8300000,22061
SPBEX.INTC,D,20220326,000000,51.6900000,51.8000000,51.6100000,51.7400000,251
SPBEX.INTC,D,20220328,000000,51.5000000,51.5600000,50.5700000,51.2000000,48324
SPBEX.INTC,D,20220329,000000,51.4500000,52.3500000,51.0000000,52.2600000,33873
SPBEX.INTC,D,20220330,000000,52.2500000,52.5000000,51.2300000,51.6100000,27015
SPBEX.INTC,D,20220331,000000,51.6800000,51.6800000,49.5600000,50.0000000,23235
SPBEX.INTC,D,20220401,000000,49.9900000,50.0000000,47.3400000,48.1000000,48402
SPBEX.INTC,D,20220402,000000,48.1000000,48.1900000,48.0200000,48.1100000,327
SPBEX.INTC,D,20220404,000000,48.2600000,49.3000000,47.9500000,49.2100000,37563
SPBEX.INTC,D,20220405,000000,49.2900000,49.2900000,48.0400000,48.2900000,22186
SPBEX.INTC,D,20220406,000000,48.2900000,48.3600000,47.2500000,47.5400000,34711
SPBEX.INTC,D,20220407,000000,47.5400000,47.9000000,46.7700000,47.5400000,13602
SPBEX.INTC,D,20220408,000000,47.5200000,47.5400000,46.8500000,47.1500000,15056
SPBEX.INTC,D,20220409,000000,47.0400000,47.0800000,47.0000000,47.0300000,177
SPBEX.INTC,D,20220411,000000,46.7200000,47.3000000,46.5000000,46.6400000,12829
SPBEX.INTC,D,20220412,000000,46.5800000,47.9000000,46.4400000,46.5600000,19745
SPBEX.INTC,D,20220413,000000,46.5600000,47.2400000,46.5200000,47.0000000,12393
SPBEX.INTC,D,20220414,000000,46.9600000,47.1200000,45.6400000,45.7000000,36354
SPBEX.INTC,D,20220415,000000,45.7000000,45.8300000,45.6700000,45.7500000,200
SPBEX.INTC,D,20220418,000000,45.6400000,46.8900000,45.5100000,46.7300000,50275
SPBEX.INTC,D,20220419,000000,46.7200000,47.9900000,46.3400000,47.7200000,57648
SPBEX.INTC,D,20220420,000000,47.7500000,48.7300000,47.6600000,48.2300000,32325
SPBEX.INTC,D,20220421,000000,48.1900000,48.8800000,47.3100000,47.4900000,17627
SPBEX.INTC,D,20220422,000000,47.4900000,47.7300000,46.4000000,46.5400000,15510
SPBEX.INTC,D,20220423,000000,46.7700000,47.0000000,46.4500000,46.5200000,386
SPBEX.INTC,D,20220425,000000,46.2700000,47.2000000,46.1800000,47.1000000,25306
SPBEX.INTC,D,20220426,000000,47.0100000,47.1600000,45.3500000,45.6600000,17261
