<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPBEX.TSLA,D,20220204,000000,891.1400000,936.4300000,881.3000000,923.5000000,152109
SPBEX.TSLA,D,20220205,000000,923.3200000,923.9000000,921.1200000,922.8800000,8683
SPBEX.TSLA,D,20220207,000000,916.3700000,947.6000000,903.0000000,907.0400000,158986
SPBEX.TSLA,D,20220208,000000,907.2000000,926.0300000,895.0000000,921.6600000,134713
SPBEX.TSLA,D,20220209,000000,922.0000000,946.2300000,920.0300000,932.0000000,143466
SPBEX.TSLA,D,20220210,000000,931.7400000,943.5000000,896.9900000,904.6700000,180911
SPBEX.TSLA,D,20220211,000000,904.5500000,915.4500000,850.7800000,860.0000000,183242
SPBEX.TSLA,D,20220212,000000,860.0000000,861.5000000,857.9300000,859.4000000,8570
SPBEX.TSLA,D,20220214,000000,859.4000000,898.7500000,834.3500000,875.7800000,213534
SPBEX.TSLA,D,20220215,000000,875.8800000,923.0000000,863.6500000,922.5900000,155211
SPBEX.TSLA,D,20220216,000000,922.2000000,929.9500000,901.2500000,923.2800000,116392
SPBEX.TSLA,D,20220217,000000,923.3900000,923.3900000,874.1900000,876.0400000,130513
SPBEX.TSLA,D,20220218,000000,876.3500000,889.9300000,837.7600000,856.7000000,198715
SPBEX.TSLA,D,20220219,000000,856.9800000,859.3300000,850.7200000,850.7200000,9012
SPBEX.TSLA,D,20220222,000000,834.5600000,856.5000000,785.0000000,821.3100000,133308
SPBEX.TSLA,D,20220223,000000,822.0000000,844.3700000,760.6200000,764.0400000,252231
SPBEX.TSLA,D,20220224,000000,764.4900000,802.2600000,677.4400000,801.0000000,136190
SPBEX.TSLA,D,20220225,000000,800.0000000,820.8800000,781.6500000,809.4800000,87337
SPBEX.TSLA,D,20220226,000000,809.8700000,811.4000000,809.2000000,811.0200000,4121
SPBEX.TSLA,D,20220228,000000,805.4100000,876.4000000,800.5500000,870.4800000,74518
SPBEX.TSLA,D,20220301,000000,870.5800000,874.4400000,854.2300000,864.5200000,25087
SPBEX.TSLA,D,20220302,000000,863.7500000,864.3700000,860.7100000,861.6000000,1490
SPBEX.TSLA,D,20220303,000000,880.7100000,886.3800000,832.9200000,838.9800000,29885
SPBEX.TSLA,D,20220304,000000,839.2900000,844.1500000,839.0000000,841.2500000,1204
SPBEX.TSLA,D,20220309,000000,841.7200000,860.3100000,832.0000000,859.0000000,22663
SPBEX.TSLA,D,20220310,000000,858.9700000,864.1700000,810.5100000,838.0000000,11172
SPBEX.TSLA,D,20220311,000000,838.3000000,848.0000000,793.7700000,795.2200000,12019
SPBEX.TSLA,D,20220312,000000,795.3500000,797.0000000,794.0000000,794.2000000,532
SPBEX.TSLA,D,20220314,000000,782.0000000,800.2900000,756.1300000,762.8600000,15321
SPBEX.TSLA,D,20220315,000000,763.0000000,805.2600000,756.6100000,800.0000000,15395
SPBEX.TSLA,D,20220316,000000,800.2500000,847.6200000,799.5200000,843.6300000,23579
SPBEX.TSLA,D,20220317,000000,843.8500000,874.9000000,826.0800000,867.0000000,24482
SPBEX.TSLA,D,20220318,000000,867.5100000,907.5700000,863.7200000,906.0000000,34662
SPBEX.TSLA,D,20220319,000000,906.0000000,906.9900000,904.2000000,904.5500000,473
SPBEX.TSLA,D,20220321,000000,918.7900000,942.6200000,907.1300000,922.6300000,35282
SPBEX.TSLA,D,20220322,000000,922.1400000,997.5100000,921.0000000,988.0500000,36624
SPBEX.TSLA,D,20220323,000000,987.7000000,1040.5700000,976.0800000,997.1300000,54893
SPBEX.TSLA,D,20220324,000000,997.1300000,1024.4700000,988.9000000,1012.7000000,17889
SPBEX.TSLA,D,20220325,000000,1012.7000000,1021.0000000,997.7700000,1009.7500000,25934
SPBEX.TSLA,D,20220326,000000,1009.7500000,1011.4800000,1009.6300000,1010.2500000,519
SPBEX.TSLA,D,20220328,000000,1070.3200000,1097.7000000,1053.2800000,1091.5000000,55317
SPBEX.TSLA,D,20220329,000000,1091.6300000,1116.0000000,1073.2900000,1098.1700000,34443
SPBEX.TSLA,D,20220330,000000,1098.4400000,1113.6200000,1084.0000000,1095.5900000,26791
SPBEX.TSLA,D,20220331,000000,1095.4900000,1102.7800000,1075.0000000,1079.5900000,21284
SPBEX.TSLA,D,20220401,000000,1079.8000000,1094.6500000,1066.6100000,1087.0000000,32012
SPBEX.TSLA,D,20220402,000000,1087.0000000,1092.0000000,1087.0000000,1090.5200000,820
SPBEX.TSLA,D,20220404,000000,1090.6000000,1149.7000000,1073.0700000,1146.0000000,80266
SPBEX.TSLA,D,20220405,000000,1146.8500000,1152.8700000,1087.0300000,1091.1100000,63891
SPBEX.TSLA,D,20220406,000000,1091.4500000,1092.2400000,1027.7700000,1042.2800000,48949
SPBEX.TSLA,D,20220407,000000,1042.6500000,1074.3800000,1021.6200000,1059.0300000,41754
SPBEX.TSLA,D,20220408,000000,1059.4000000,1064.0000000,1022.6900000,1025.0000000,47528
SPBEX.TSLA,D,20220409,000000,1024.9200000,1025.1000000,1022.3500000,1022.4200000,600
SPBEX.TSLA,D,20220411,000000,986.0000000,1008.5400000,972.1000000,974.1000000,58864
SPBEX.TSLA,D,20220412,000000,974.2000000,1020.8200000,964.0000000,985.5000000,64291
SPBEX.TSLA,D,20220413,000000,985.8600000,1026.0500000,973.4600000,1019.5900000,56099
SPBEX.TSLA,D,20220414,000000,1020.0200000,1021.2200000,976.0000000,984.9000000,50340
SPBEX.TSLA,D,20220415,000000,984.8000000,989.1500000,984.5000000,987.0400000,381
SPBEX.TSLA,D,20220418,000000,993.2500000,1014.7400000,973.4000000,1007.0000000,79213
SPBEX.TSLA,D,20220419,000000,1007.0000000,1034.9800000,995.3000000,1019.3000000,52483
SPBEX.TSLA,D,20220420,000000,1019.3000000,1037.0000000,973.5900000,1022.7200000,83732
SPBEX.TSLA,D,20220421,000000,1023.0000000,1090.3700000,996.4100000,1010.3400000,154056
SPBEX.TSLA,D,20220422,000000,1010.1100000,1034.8500000,994.0100000,1004.6000000,65023
SPBEX.TSLA,D,20220423,000000,1005.0400000,1005.5000000,1002.8000000,1003.2100000,874
SPBEX.TSLA,D,20220425,000000,967.2900000,1008.4200000,966.1000000,998.2100000,62145
SPBEX.TSLA,D,20220426,000000,998.0100000,1001.8100000,861.5900000,862.9900000,95866
SPBEX.TSLA,D,20220427,000000,862.8000000,917.9900000,860.0000000,893.0500000,78119
SPBEX.TSLA,D,20220428,000000,894.0000000,907.4000000,822.0000000,864.0500000,101923
SPBEX.TSLA,D,20220429,000000,864.0000000,934.4000000,847.5000000,874.8000000,94049
SPBEX.TSLA,D,20220430,000000,874.8000000,876.7500000,873.2000000,876.0400000,681
SPBEX.TSLA,D,20220502,000000,860.4700000,906.0200000,843.8900000,899.6000000,79565
SPBEX.TSLA,D,20220503,000000,899.6000000,923.9900000,888.7500000,908.5000000,89899
SPBEX.TSLA,D,20220504,000000,907.5000000,955.0000000,885.2800000,948.0100000,124177
SPBEX.TSLA,D,20220505,000000,948.0300000,950.7100000,857.7600000,877.3100000,111994
SPBEX.TSLA,D,20220506,000000,870.4700000,889.0000000,843.0500000,864.8300000,89737
SPBEX.TSLA,D,20220507,000000,864.9500000,865.3500000,862.0000000,864.4800000,1470
SPBEX.TSLA,D,20220509,000000,820.9100000,845.5200000,781.1500000,786.4800000,106008
SPBEX.TSLA,D,20220510,000000,786.5000000,825.1200000,774.2500000,796.0000000,95259
SPBEX.TSLA,D,20220511,000000,795.2100000,816.0000000,727.0000000,738.3700000,145589
SPBEX.TSLA,D,20220512,000000,738.1700000,759.6600000,680.1500000,721.7000000,161540
SPBEX.TSLA,D,20220513,000000,722.5800000,787.3700000,721.9900000,770.5000000,110101
SPBEX.TSLA,D,20220514,000000,770.4000000,773.8800000,769.6100000,772.5000000,1004
SPBEX.TSLA,D,20220516,000000,768.3900000,774.7000000,719.2200000,723.2300000,93095
SPBEX.TSLA,D,20220517,000000,723.2300000,764.5000000,722.3600000,763.9800000,111241
SPBEX.TSLA,D,20220518,000000,763.5000000,763.9800000,701.0000000,708.5500000,86612
SPBEX.TSLA,D,20220519,000000,708.4800000,733.8800000,694.1200000,711.9000000,88820
SPBEX.TSLA,D,20220520,000000,711.9000000,724.8000000,633.0000000,660.3500000,133443
SPBEX.TSLA,D,20220521,000000,660.2000000,667.4500000,659.6900000,665.2000000,1931
SPBEX.TSLA,D,20220523,000000,667.7000000,679.9400000,638.0500000,674.6400000,78962
